iter	Logloss
0	0.6640740498
1	0.6390913102
2	0.6169290843
3	0.5968758166
4	0.579183474
5	0.5647871692
6	0.551651384
7	0.5398287223
8	0.5296852562
9	0.5199196211
10	0.5108689187
11	0.5043657342
12	0.4973586242
13	0.4915349401
14	0.4862436849
15	0.4810933571
16	0.4768150538
17	0.4728396582
18	0.469869371
19	0.4668744919
20	0.4635364814
21	0.4616379705
22	0.459053432
23	0.456570301
24	0.4541511686
25	0.4523256441
26	0.4504642388
27	0.4488439183
28	0.4473350412
29	0.4458770687
30	0.4445273335
31	0.4431638475
32	0.4421196782
33	0.4410615544
34	0.4399427327
35	0.4389096542
36	0.43811292
37	0.4372871491
38	0.4366243467
39	0.4358461805
40	0.4353001153
41	0.4347106251
42	0.4341213084
43	0.4333753858
44	0.4328779123
45	0.4323484719
46	0.4318501861
47	0.4312813314
48	0.4305365995
49	0.4299924384
50	0.4297582286
51	0.4294155916
52	0.4290650763
53	0.4286513238
54	0.4283594088
55	0.4279142283
56	0.4275680212
57	0.4274740645
58	0.4271908591
59	0.4267919406
60	0.4265590216
61	0.4260737054
62	0.4258386845
63	0.4256159457
64	0.4253248242
65	0.4251595784
66	0.4248635013
67	0.4245719513
68	0.4241794677
69	0.4239778301
70	0.4238771785
71	0.4236093447
72	0.4232863374
73	0.4230521544
74	0.422800715
75	0.4226169384
76	0.4224197677
77	0.422166718
78	0.4219934329
79	0.4217920351
80	0.4215583005
81	0.4213750954
82	0.4211504927
83	0.4208106484
84	0.4205789009
85	0.4203877403
86	0.4201527711
87	0.4197792716
88	0.4196996461
89	0.4194568445
90	0.4193471718
91	0.4191587726
92	0.4190251422
93	0.418855311
94	0.4186737517
95	0.418540425
96	0.4182819694
97	0.4179955444
98	0.4178482427
99	0.4176460463
100	0.4174916509
101	0.4173683909
102	0.4171131306
103	0.4169600928
104	0.4167673731
105	0.4165085884
106	0.4163250754
107	0.4161288247
108	0.4158976909
109	0.4157675688
110	0.4157036821
111	0.4154468053
112	0.4152382801
113	0.4151754036
114	0.4148935403
115	0.4147264542
116	0.4145972168
117	0.4144476625
118	0.4143293134
119	0.4141345947
120	0.4140180993
121	0.4138324291
122	0.413696445
123	0.413545306
124	0.4135237482
125	0.4134091326
126	0.4132483239
127	0.4130106478
128	0.4128283895
129	0.4125960391
130	0.4123779552
131	0.412234901
132	0.4121225047
133	0.4119549471
134	0.4118432166
135	0.4117552269
136	0.4116296733
137	0.4115058036
138	0.4114223234
139	0.4113736483
140	0.4112174953
141	0.410997547
142	0.4109261381
143	0.4108353949
144	0.410749811
145	0.4104951136
146	0.4103220754
147	0.4102190795
148	0.410066951
149	0.4098770078
150	0.4097782552
151	0.409560795
152	0.4094125668
153	0.4092456031
154	0.4091073131
155	0.408988061
156	0.4088005613
157	0.408649301
