iter	Logloss
158	0.4083894747
159	0.4082655246
160	0.4081106959
161	0.4080317403
162	0.4079420259
163	0.4078357344
164	0.4077194766
165	0.4075135244
166	0.4073480055
167	0.4072004411
168	0.407096408
169	0.4068914327
170	0.4067095616
171	0.4064598049
172	0.406345371
173	0.4061971761
174	0.4060644672
175	0.4058961616
176	0.4057858749
177	0.4056352331
178	0.405429562
179	0.405214337
180	0.4050421818
181	0.4048531288
182	0.4046431814
183	0.4044123641
184	0.4043001623
185	0.4041247916
186	0.4039104298
187	0.4037844338
188	0.4036699619
189	0.4035537271
190	0.4034537752
191	0.4033051008
192	0.4031010628
193	0.4029549082
194	0.4028318356
195	0.4027065149
196	0.4025703264
197	0.4024302638
198	0.4023286721
199	0.4021967379
200	0.4019961675
201	0.4018184017
202	0.4016297945
203	0.4014630738
204	0.4013443043
205	0.4012473348
206	0.401046962
207	0.4008749581
208	0.4007337107
209	0.4005612254
210	0.4004297543
211	0.4002538287
212	0.4000639161
213	0.3999156204
214	0.3997940707
215	0.3996081721
216	0.3993248209
217	0.3991325025
218	0.398979134
219	0.398826328
220	0.3986388787
221	0.3985676611
222	0.3983965457
223	0.3982863264
224	0.3981092278
225	0.3979233393
226	0.3976773381
227	0.397508053
228	0.3973529155
229	0.3971407218
230	0.3969880484
231	0.3968370594
232	0.3966717919
233	0.3965237521
234	0.39633087
235	0.3962043384
236	0.3960535557
237	0.3959129423
238	0.3957680061
239	0.3955856611
240	0.3954337866
241	0.3952448208
242	0.3950261904
243	0.3948515966
244	0.3947174938
245	0.3945884031
246	0.394455397
247	0.3942281194
248	0.3940014484
249	0.3938643802
250	0.3936768773
251	0.393463901
252	0.3932320371
253	0.3931089887
254	0.3929380571
255	0.3927980956
256	0.3925765699
257	0.3924441845
258	0.3922862865
259	0.3921085516
260	0.3919252149
261	0.3917811203
262	0.3916328632
263	0.3914557
264	0.3912960833
265	0.3911311644
266	0.390974753
267	0.3908614863
268	0.3906795755
269	0.3905466613
270	0.390394817
271	0.3902575739
272	0.3901011724
273	0.3899683081
274	0.3898871792
275	0.3897506532
276	0.3895986781
277	0.3894365388
278	0.3893655129
279	0.3892166436
280	0.3891139891
281	0.3889627476
282	0.3888114663
283	0.3886620158
284	0.3884784694
285	0.3883953388
286	0.3882031199
287	0.388152339
288	0.3879930091
289	0.3878392539
290	0.3877454943
291	0.3875852377
292	0.3874203212
293	0.3872660571
294	0.3871252572
295	0.3869716768
296	0.3868382706
297	0.3866619947
298	0.3865280002
299	0.3863662427
300	0.3861975057
301	0.3860844084
302	0.3859765974
303	0.3857801753
304	0.3857154666
305	0.3856002667
306	0.3855952875
307	0.3854527789
308	0.3853645314
309	0.3852192296
310	0.3850967031
311	0.3849946251
312	0.3848548628
313	0.3847110488
314	0.3845538579
315	0.3843866681
316	0.3841810347
317	0.3841069186
318	0.38393288
319	0.3838631347
320	0.3837847429
321	0.3836824223
322	0.3834476184
323	0.3832826287
324	0.3831826868
325	0.3830600659
326	0.3828995003
327	0.3828334241
328	0.3827405413
329	0.3825167481
330	0.3824564953
331	0.3822811528
332	0.3821563799
333	0.38207145
334	0.3819929731
335	0.3818407247
336	0.3817878492
337	0.3816452069
338	0.3815495665
339	0.3813808117
340	0.3812657081
341	0.3811170093
342	0.3809366841
343	0.3807351859
344	0.3807311291
345	0.3807188282
346	0.3806053951
347	0.3804820481
348	0.3803862721
349	0.3801912726
350	0.3800931948
351	0.3799458858
352	0.3798674561
353	0.3798096044
354	0.3796588143
355	0.3794892556
356	0.3793665242
357	0.3792459134
358	0.3791665819
359	0.3790546722
360	0.3789665859
361	0.3788308321
362	0.3786979466
363	0.3785973222
364	0.3785319856
365	0.3784399692
366	0.378279343
367	0.3781333586
368	0.3780041779
369	0.3778640487
370	0.3776645883
371	0.3774068709
372	0.3772604381
373	0.3771574943
374	0.3770743873
375	0.3769490492
376	0.3768764552
377	0.3767469852
378	0.3766495667
379	0.3765982062
380	0.3765347969
381	0.3764178662
382	0.3763668402
383	0.3761666137
384	0.3760110446
385	0.3758145812
386	0.375661604
387	0.3755349787
388	0.37532652
389	0.3751162238
390	0.3750221773
391	0.3748723203
392	0.374814332
393	0.3746990064
394	0.3745514254
395	0.3743918166
396	0.3743029973
397	0.3741494505
398	0.3740287032
399	0.3739633841
